distance_km,weather_risk_score,traffic_risk_score,congestion_score,disruptions_count,priority,current_eta_minutes,is_delayed,actual_delay_min,delay_probability,risk_level
156.3,0.1903,0.3244,0.4722,0,low,265.6,0,0.0,0.2867,low
387.6,0.2883,0.1029,0.2232,3,medium,610.0,0,0.0,0.444,medium
165.9,0.314,0.5847,0.7011,0,high,243.9,1,72.9,0.5325,medium
233.7,0.1618,0.0428,0.3911,0,low,266.6,0,0.0,0.2279,low
695.4,0.4585,0.4555,0.3204,1,medium,1098.9,1,296.7,0.5809,medium
237.1,0.2563,0.6556,0.1402,0,medium,391.3,1,86.6,0.4412,medium
482.7,0.2718,0.7681,0.5182,2,low,777.8,0,0.0,0.5549,medium
162.9,0.4354,0.1512,0.6307,0,medium,207.3,0,0.0,0.4467,medium
261.5,0.2647,0.6196,0.3215,1,low,335.7,1,117.5,0.4112,medium
161.2,0.6078,0.3294,0.5181,1,medium,231.8,1,89.1,0.4004,medium
239.8,0.3321,0.3755,0.1125,4,medium,416.5,1,216.6,0.7097,high
516.0,0.3907,0.4068,0.4251,1,medium,725.0,1,203.6,0.5311,medium
97.2,0.6747,0.4727,0.1203,0,medium,127.7,1,70.5,0.3603,medium
396.4,0.6353,0.4315,0.4039,5,low,707.3,1,369.5,0.8568,critical
348.8,0.0362,0.4619,0.0796,3,high,469.4,0,0.0,0.556,medium
203.1,0.304,0.4004,0.2784,0,low,297.1,1,45.3,0.2538,low
116.8,0.3315,0.4434,0.4055,0,low,158.7,1,79.1,0.3475,low
313.2,0.0133,0.1739,0.4989,0,high,562.4,0,0.0,0.2875,low
211.8,0.0785,0.3419,0.1653,1,medium,284.6,0,0.0,0.2644,low
347.7,0.1031,0.1379,0.0997,0,medium,454.8,0,0.0,0.1384,low
303.1,0.0904,0.3864,0.4277,0,critical,378.4,0,0.0,0.3564,medium
846.5,0.3093,0.7413,0.1417,0,low,1039.5,0,0.0,0.507,medium
255.8,0.2671,0.755,0.1297,0,high,337.7,0,0.0,0.2622,low
153.7,0.396,0.3543,0.5296,2,high,208.0,0,0.0,0.6685,high
335.8,0.2747,0.2284,0.1994,0,medium,563.8,0,0.0,0.3215,low
344.8,0.1706,0.2595,0.0923,1,medium,534.6,0,0.0,0.2913,low
723.0,0.3653,0.3193,0.1167,0,low,849.2,0,0.0,0.2325,low
514.3,0.306,0.3044,0.3382,4,high,802.2,0,0.0,0.5917,medium
376.9,0.2356,0.4554,0.3714,5,medium,416.9,1,253.6,0.7975,high
773.7,0.4685,0.4154,0.0913,4,medium,1220.3,1,374.0,0.6965,high
138.0,0.203,0.5484,0.3414,0,high,168.4,0,0.0,0.2332,low
197.2,0.2313,0.1417,0.101,0,medium,266.1,1,47.9,0.2349,low
163.6,0.2697,0.4457,0.5126,2,medium,198.0,0,0.0,0.526,medium
232.0,0.2506,0.355,0.341,3,medium,260.2,1,146.3,0.6236,high
122.1,0.4253,0.2414,0.1517,0,critical,195.9,0,0.0,0.2918,low
451.6,0.1782,0.4457,0.3724,0,low,782.8,1,149.7,0.3766,medium
258.7,0.4723,0.3311,0.0647,0,medium,360.9,0,0.0,0.315,low
114.9,0.2519,0.2119,0.5836,0,high,172.2,0,0.0,0.3246,low
154.5,0.5249,0.3557,0.4662,2,low,219.1,0,0.0,0.4339,medium
366.4,0.0796,0.263,0.2894,0,high,485.8,0,0.0,0.2822,low
515.3,0.4301,0.2193,0.1388,1,high,600.0,0,0.0,0.394,medium
1094.3,0.4237,0.2847,0.5884,1,low,1787.4,1,395.8,0.5639,medium
1986.3,0.2158,0.7409,0.4779,0,medium,2800.0,0,0.0,0.5325,medium
391.3,0.0835,0.4387,0.291,0,high,669.2,1,97.5,0.2652,low
157.1,0.236,0.4285,0.348,0,medium,276.9,0,0.0,0.3212,low
74.8,0.4041,0.3908,0.2968,0,medium,98.2,0,0.0,0.3313,low
355.7,0.2183,0.2775,0.3446,0,medium,430.8,1,32.9,0.322,low
176.2,0.1238,0.5023,0.1943,0,low,290.2,0,0.0,0.1919,low
228.2,0.2718,0.3228,0.204,0,high,264.0,0,0.0,0.3114,low
200.8,0.4549,0.425,0.1532,2,low,308.4,1,110.9,0.4358,medium
272.7,0.0582,0.2313,0.5695,0,medium,461.4,0,0.0,0.268,low
597.6,0.1646,0.276,0.3959,0,low,694.8,1,82.1,0.2973,low
331.0,0.3095,0.6212,0.1994,1,critical,434.4,0,0.0,0.4311,medium
269.6,0.1319,0.2971,0.1559,0,medium,325.1,0,0.0,0.3118,low
152.4,0.2821,0.2656,0.1497,2,medium,235.3,0,0.0,0.3327,low
100.6,0.7294,0.3271,0.129,5,medium,154.7,1,207.1,0.7499,high
217.9,0.7845,0.4141,0.1146,2,medium,381.6,1,170.3,0.5809,medium
288.6,0.3774,0.4774,0.6006,0,medium,341.8,0,0.0,0.3986,medium
943.1,0.2694,0.3295,0.1642,2,low,1545.3,0,0.0,0.4622,medium
325.3,0.5372,0.2183,0.1063,0,medium,456.1,0,0.0,0.2605,low
566.1,0.2747,0.4763,0.1408,2,high,783.0,0,0.0,0.4983,medium
216.0,0.3109,0.2157,0.3939,3,critical,284.1,0,0.0,0.6022,high
138.3,0.0224,0.6694,0.2563,0,high,200.2,0,0.0,0.2768,low
159.6,0.5141,0.687,0.1082,0,low,233.0,1,65.1,0.52,medium
186.5,0.1634,0.449,0.506,0,medium,284.7,0,0.0,0.3515,medium
1192.1,0.5285,0.3389,0.5337,0,critical,2128.5,0,0.0,0.5533,medium
175.2,0.1359,0.4939,0.4776,0,medium,262.6,0,0.0,0.2463,low
515.4,0.2056,0.2924,0.195,0,critical,684.6,0,0.0,0.3381,low
166.2,0.1529,0.51,0.4383,0,medium,197.1,0,0.0,0.3456,low
547.6,0.1212,0.2256,0.2238,0,high,818.9,0,0.0,0.2486,low
383.8,0.2606,0.5411,0.2133,1,high,430.6,1,132.6,0.4851,medium
269.9,0.5127,0.63,0.7624,0,low,449.2,1,114.2,0.5476,medium
291.1,0.0529,0.2381,0.2549,0,low,342.2,0,0.0,0.1082,low
195.3,0.2399,0.1798,0.7151,0,high,309.9,0,0.0,0.3195,low
399.4,0.3549,0.6759,0.1661,3,medium,555.1,1,223.1,0.601,high
222.4,0.2496,0.447,0.1992,1,medium,373.7,0,0.0,0.4018,medium
134.7,0.2632,0.4201,0.0994,0,medium,212.9,1,69.2,0.4945,medium
130.2,0.377,0.6608,0.2365,0,high,185.3,1,71.5,0.4435,medium
334.3,0.1471,0.4968,0.134,0,low,392.7,1,34.0,0.2192,low
834.1,0.0727,0.1098,0.2343,0,medium,990.9,0,0.0,0.2742,low
331.6,0.4744,0.6728,0.386,0,low,491.5,0,0.0,0.4707,medium
276.7,0.4178,0.5085,0.2069,1,low,336.4,0,0.0,0.4423,medium
359.9,0.0545,0.8167,0.1734,0,medium,456.5,1,116.0,0.5096,medium
698.5,0.1134,0.3926,0.2952,4,low,872.7,1,361.1,0.8251,critical
344.7,0.2547,0.2974,0.1107,0,high,543.3,0,0.0,0.4482,medium
228.8,0.2822,0.2997,0.3892,1,medium,390.1,0,0.0,0.4083,medium
613.4,0.0694,0.2959,0.0573,0,medium,1063.3,0,0.0,0.1351,low
394.9,0.5029,0.5228,0.4675,2,medium,692.3,1,236.3,0.6909,high
811.0,0.1002,0.1967,0.2093,0,high,898.1,0,0.0,0.2426,low
336.7,0.0636,0.5635,0.3538,1,low,605.6,0,0.0,0.282,low
134.8,0.164,0.4616,0.0765,1,critical,193.1,0,0.0,0.4256,medium
122.8,0.2212,0.2968,0.1557,0,medium,139.9,1,0.0,0.1428,low
874.0,0.4168,0.2004,0.2997,1,medium,1541.4,1,352.5,0.5471,medium
916.3,0.4254,0.3588,0.2195,2,high,1161.0,0,0.0,0.5548,medium
266.0,0.4608,0.3449,0.1412,1,medium,456.3,0,0.0,0.3065,low
233.0,0.2667,0.2012,0.1014,4,medium,392.4,1,182.3,0.4966,medium
772.7,0.2864,0.5868,0.355,0,low,1353.9,0,0.0,0.3338,low
145.5,0.2933,0.604,0.2225,0,medium,236.2,1,79.5,0.3381,low
167.1,0.2412,0.0823,0.5462,2,medium,260.7,0,0.0,0.455,medium
454.0,0.149,0.2913,0.1315,0,low,509.9,0,0.0,0.3061,low
231.3,0.0281,0.1946,0.4287,0,medium,338.9,0,0.0,0.1943,low
297.9,0.5512,0.4919,0.3819,0,medium,475.0,1,84.4,0.386,medium
268.7,0.1233,0.2923,0.4502,0,high,482.5,0,0.0,0.2947,low
372.2,0.2972,0.2774,0.1793,0,critical,633.1,1,109.3,0.3367,low
746.1,0.2607,0.4365,0.0605,0,high,918.0,0,0.0,0.3578,medium
317.0,0.2635,0.5806,0.2705,4,medium,518.4,0,0.0,0.6561,high
454.2,0.1948,0.0978,0.3452,0,medium,616.7,0,0.0,0.1867,low
78.8,0.3218,0.632,0.3093,0,medium,103.9,0,0.0,0.404,medium
289.6,0.5435,0.5745,0.1327,0,low,467.1,1,96.9,0.4394,medium
172.8,0.3506,0.2477,0.1803,2,low,297.7,0,0.0,0.3641,medium
135.3,0.3837,0.4058,0.3308,0,high,224.8,0,0.0,0.324,low
168.9,0.0792,0.4689,0.1765,0,high,277.3,0,0.0,0.2474,low
240.5,0.5955,0.4005,0.5599,0,high,378.9,0,0.0,0.5539,medium
542.0,0.3364,0.1184,0.3956,0,medium,626.4,0,0.0,0.2942,low
126.2,0.4272,0.5908,0.1797,1,critical,159.9,0,0.0,0.6083,high
304.9,0.2413,0.4125,0.4149,2,medium,494.7,0,0.0,0.3494,low
218.2,0.7961,0.1074,0.1622,0,critical,268.9,0,0.0,0.3699,medium
241.5,0.3539,0.5348,0.5595,0,high,343.1,0,0.0,0.3922,medium
573.5,0.1522,0.1877,0.305,0,medium,785.6,0,0.0,0.2387,low
424.0,0.0994,0.2545,0.1009,2,medium,568.6,0,0.0,0.2925,low
712.9,0.0441,0.3685,0.2813,0,medium,1137.9,0,0.0,0.3315,low
270.3,0.3916,0.5916,0.0772,0,medium,393.7,0,0.0,0.2786,low
190.1,0.2066,0.3659,0.3097,2,medium,308.4,1,116.5,0.521,medium
258.4,0.4372,0.6052,0.3626,0,medium,388.2,0,0.0,0.4864,medium
349.9,0.4976,0.4487,0.512,5,high,450.5,1,275.3,0.9198,critical
335.2,0.2136,0.6606,0.1889,1,high,389.8,1,115.8,0.4302,medium
147.7,0.0797,0.8053,0.3585,3,medium,193.5,0,0.0,0.5268,medium
317.0,0.6065,0.2702,0.1542,0,high,385.2,0,0.0,0.3183,low
346.7,0.226,0.1579,0.3153,2,low,583.3,1,103.6,0.2991,low
1535.1,0.463,0.5573,0.3131,1,medium,2685.1,1,685.4,0.6663,high
1012.3,0.171,0.4041,0.4105,2,medium,1501.4,1,443.9,0.7061,high
171.6,0.0896,0.3144,0.177,5,medium,305.8,1,176.8,0.5987,medium
247.9,0.3394,0.5606,0.2183,0,medium,385.5,1,73.2,0.2421,low
115.4,0.2697,0.0854,0.4026,0,medium,179.8,0,0.0,0.2775,low
203.6,0.3354,0.3028,0.5731,1,medium,256.9,1,56.4,0.4656,medium
366.9,0.1446,0.3019,0.2493,0,medium,621.8,0,0.0,0.2725,low
654.5,0.1684,0.4516,0.0976,0,medium,942.2,0,0.0,0.3932,medium
186.1,0.6202,0.2153,0.1615,0,medium,208.6,0,0.0,0.2837,low
195.4,0.5858,0.3139,0.1962,2,low,312.0,0,0.0,0.532,medium
74.0,0.2489,0.447,0.4308,0,medium,106.4,0,0.0,0.2687,low
268.9,0.0639,0.1626,0.1007,0,medium,456.3,0,0.0,0.2564,low
149.8,0.1671,0.4836,0.4612,0,medium,191.1,1,46.9,0.4366,medium
211.8,0.2385,0.277,0.4021,2,medium,282.7,1,112.6,0.3582,medium
169.0,0.4614,0.4576,0.2939,3,high,213.1,1,151.4,0.6302,high
281.1,0.237,0.5099,0.2515,1,low,496.5,1,122.1,0.4304,medium
95.3,0.3035,0.5196,0.274,1,critical,136.9,0,0.0,0.3332,low
115.2,0.1951,0.4838,0.1887,0,low,175.1,1,56.0,0.4895,medium
1192.7,0.1388,0.1545,0.1693,4,high,2002.6,1,533.1,0.626,high
129.4,0.4941,0.1341,0.5795,4,medium,147.5,1,140.0,0.5875,medium
146.5,0.7987,0.2624,0.1709,3,medium,201.6,1,137.9,0.6312,high
986.3,0.5712,0.3242,0.1654,2,medium,1318.3,1,346.2,0.5792,medium
1974.9,0.2701,0.4329,0.4709,0,medium,2800.0,1,632.4,0.6524,high
139.6,0.3745,0.4022,0.5906,2,high,225.3,1,127.6,0.5637,medium
235.2,0.0735,0.2607,0.3202,0,low,301.7,0,0.0,0.2372,low
373.2,0.2088,0.2739,0.2413,0,critical,595.5,0,0.0,0.4143,medium
919.3,0.157,0.5103,0.2465,0,low,1312.4,0,0.0,0.3573,medium
157.4,0.3458,0.2687,0.0789,1,high,174.8,1,49.4,0.3328,low
254.8,0.2004,0.748,0.2727,0,medium,355.1,1,88.2,0.5574,medium
495.4,0.2684,0.7109,0.2223,0,medium,614.2,0,0.0,0.2917,low
396.5,0.2653,0.1848,0.2949,0,medium,534.7,1,101.7,0.3892,medium
234.0,0.0598,0.3255,0.2319,1,low,349.1,1,90.1,0.3851,medium
274.0,0.2351,0.1447,0.3412,0,medium,319.0,0,0.0,0.144,low
122.3,0.1102,0.317,0.4842,1,medium,183.8,1,70.3,0.4358,medium
256.0,0.2388,0.6167,0.1474,0,low,417.9,0,0.0,0.3179,low
251.4,0.4236,0.4705,0.3128,1,low,345.2,0,0.0,0.2981,low
347.6,0.1983,0.4929,0.4813,0,critical,549.2,1,121.8,0.4257,medium
208.3,0.32,0.6188,0.2609,1,medium,341.8,0,0.0,0.5158,medium
406.1,0.1846,0.7841,0.0344,1,high,566.8,1,152.7,0.5399,medium
577.2,0.0639,0.2075,0.1126,1,medium,750.0,0,0.0,0.317,low
330.6,0.2423,0.7013,0.5898,2,high,483.2,1,231.3,0.8083,critical
375.6,0.1372,0.5811,0.2576,3,medium,463.7,1,189.7,0.6178,high
309.4,0.1235,0.0217,0.3092,0,medium,479.4,1,54.4,0.1732,low
298.9,0.0963,0.3916,0.1697,0,medium,389.2,1,45.0,0.2926,low
187.0,0.3306,0.4312,0.1581,0,critical,227.2,0,0.0,0.319,low
367.1,0.553,0.1014,0.5548,1,medium,599.5,1,162.6,0.4661,medium
280.6,0.6168,0.2386,0.1934,0,high,493.1,0,0.0,0.303,low
1165.1,0.1533,0.3069,0.3239,0,low,1758.8,0,0.0,0.2382,low
831.0,0.1239,0.2755,0.443,1,medium,1061.5,0,0.0,0.4008,medium
384.1,0.3847,0.1892,0.2332,0,medium,559.0,1,114.1,0.473,medium
182.0,0.3333,0.2505,0.4173,1,high,219.4,1,73.6,0.4431,medium
145.0,0.2952,0.3308,0.1848,1,low,245.4,0,0.0,0.3775,medium
648.2,0.4219,0.3889,0.0953,0,medium,784.4,0,0.0,0.3247,low
354.5,0.4728,0.2579,0.3016,1,critical,464.4,1,137.0,0.5067,medium
408.3,0.2343,0.4017,0.1464,2,medium,713.3,0,0.0,0.3712,medium
96.2,0.2571,0.1072,0.3552,0,medium,112.2,0,0.0,0.1558,low
546.1,0.1784,0.6553,0.2991,0,high,924.6,1,132.2,0.3447,low
401.6,0.1385,0.2576,0.1397,0,medium,461.0,0,0.0,0.2969,low
145.2,0.5747,0.4441,0.1479,1,medium,256.7,0,0.0,0.4071,medium
220.0,0.3221,0.5123,0.0592,0,high,298.5,1,38.5,0.3787,medium
354.8,0.2154,0.2098,0.1058,1,high,529.9,0,0.0,0.3496,low
309.2,0.2949,0.4134,0.159,1,medium,509.5,0,0.0,0.2831,low
247.2,0.3408,0.7424,0.6759,4,high,369.3,1,234.5,0.8739,critical
279.4,0.2033,0.2612,0.2612,0,high,421.0,1,44.3,0.1562,low
253.7,0.1468,0.2111,0.2553,4,medium,373.7,0,0.0,0.5261,medium
330.0,0.0616,0.7186,0.3476,0,high,575.2,1,94.3,0.3439,low
777.8,0.1849,0.0795,0.1902,1,medium,914.0,0,0.0,0.271,low
56.4,0.1363,0.7319,0.1616,1,medium,81.4,0,0.0,0.4168,medium
256.2,0.3606,0.3071,0.2309,1,low,297.7,0,0.0,0.4968,medium
335.2,0.2663,0.175,0.659,0,medium,474.8,1,80.7,0.2753,low
362.3,0.6218,0.7724,0.5314,0,medium,402.4,1,125.3,0.6101,high
234.7,0.4612,0.3197,0.1765,0,critical,331.7,0,0.0,0.2084,low
95.4,0.1712,0.2971,0.3681,0,medium,135.1,0,0.0,0.2708,low
369.9,0.4139,0.3723,0.307,2,high,623.8,1,187.9,0.4926,medium
918.5,0.4594,0.2404,0.0952,0,medium,1464.8,0,0.0,0.3398,low
110.3,0.2902,0.3707,0.3573,2,high,139.8,1,92.0,0.5176,medium
524.0,0.3374,0.738,0.641,1,low,901.6,1,201.8,0.446,medium
241.4,0.1885,0.6824,0.354,3,high,306.5,0,0.0,0.5761,medium
287.2,0.1425,0.2673,0.0341,2,medium,400.5,0,0.0,0.3084,low
150.7,0.0934,0.5521,0.1002,1,medium,206.7,0,0.0,0.4168,medium
240.5,0.1281,0.1822,0.4809,0,high,363.4,1,38.1,0.2665,low
695.8,0.1075,0.2682,0.1525,0,medium,1090.9,0,0.0,0.259,low
436.5,0.1204,0.8022,0.4133,4,medium,638.1,1,269.7,0.6299,high
921.5,0.1373,0.4927,0.228,0,critical,1435.7,1,296.2,0.533,medium
642.5,0.1314,0.6205,0.1705,0,medium,751.5,0,0.0,0.3474,low
397.6,0.0281,0.6891,0.3782,1,medium,492.4,0,0.0,0.4261,medium
928.5,0.1777,0.3899,0.0465,1,medium,1249.9,0,0.0,0.3378,low
397.6,0.1368,0.3596,0.2564,0,medium,643.4,1,62.0,0.3183,low
511.9,0.1552,0.7003,0.2752,0,medium,883.3,1,137.3,0.3527,medium
246.5,0.4772,0.5541,0.1593,3,medium,362.7,0,0.0,0.7208,high
312.1,0.1952,0.1741,0.1711,0,medium,478.1,0,0.0,0.3638,medium
189.9,0.3647,0.4089,0.3914,0,medium,271.0,0,0.0,0.3912,medium
568.6,0.0969,0.1226,0.2859,0,critical,777.8,0,0.0,0.3552,medium
138.9,0.3135,0.1383,0.2715,0,low,179.0,0,0.0,0.1556,low
497.0,0.519,0.3119,0.4355,1,low,648.2,0,0.0,0.5158,medium
264.0,0.0654,0.3398,0.3745,3,medium,455.4,0,0.0,0.4166,medium
639.9,0.4173,0.3974,0.2203,0,critical,897.7,0,0.0,0.51,medium
486.9,0.224,0.3961,0.0521,0,medium,765.6,0,0.0,0.23,low
976.0,0.4302,0.3283,0.0919,4,low,1712.8,0,0.0,0.6166,high
480.6,0.3844,0.2049,0.4291,0,high,686.5,0,0.0,0.5613,medium
107.6,0.4698,0.4407,0.365,0,critical,191.1,0,0.0,0.562,medium
286.1,0.4416,0.2697,0.2411,0,high,479.2,1,99.4,0.4417,medium
139.5,0.208,0.7125,0.0661,1,low,242.1,1,76.4,0.4277,medium
213.4,0.2635,0.2589,0.3887,1,high,300.4,1,79.5,0.5237,medium
798.2,0.0709,0.7458,0.3359,1,medium,1282.9,1,279.0,0.5348,medium
452.3,0.2667,0.5923,0.3746,0,low,575.8,0,0.0,0.3796,medium
189.7,0.5134,0.7759,0.2858,1,high,256.7,1,104.5,0.5479,medium
154.6,0.529,0.2694,0.5378,2,critical,256.6,1,141.0,0.5513,medium
305.3,0.268,0.1226,0.0986,0,medium,343.2,0,0.0,0.1676,low
135.5,0.6697,0.3857,0.2672,1,high,242.3,1,89.3,0.5597,medium
193.2,0.3788,0.5002,0.2871,0,medium,293.6,0,0.0,0.2616,low
366.1,0.1258,0.4375,0.6288,3,low,647.4,1,233.1,0.5603,medium
633.3,0.1312,0.2097,0.2659,0,high,1095.6,0,0.0,0.1382,low
