type,type_encoded,severity,affected_radius_km,hour,impacted_shipments,delay_min
vehicle_issue,3,10.0,86.07,21.0,15,66
congestion,1,1.0,76.35,0.0,26,65
weather,0,2.91,81.16,11.0,29,73
vehicle_issue,3,4.98,27.85,7.0,6,29
blockage,2,3.87,120.0,20.0,25,206
blockage,2,7.0,67.55,11.0,22,193
weather,0,3.86,120.0,15.0,41,102
congestion,1,7.32,19.89,2.0,27,82
vehicle_issue,3,2.02,51.46,17.0,6,23
vehicle_issue,3,3.92,43.54,11.0,6,28
congestion,1,7.11,90.78,21.0,48,133
vehicle_issue,3,4.82,90.67,2.0,11,47
vehicle_issue,3,7.89,60.22,7.0,11,50
congestion,1,7.06,2.06,20.0,22,69
vehicle_issue,3,4.02,24.3,5.0,5,23
congestion,1,5.16,5.78,6.0,17,53
weather,0,9.59,101.02,7.0,68,183
blockage,2,10.0,34.74,12.0,22,253
blockage,2,1.0,15.34,1.0,4,34
weather,0,7.82,43.59,14.0,32,90
vehicle_issue,3,4.74,9.25,19.0,5,23
weather,0,1.0,117.33,7.0,43,102
vehicle_issue,3,7.24,36.83,4.0,9,40
weather,0,1.15,113.75,8.0,41,98
vehicle_issue,3,4.25,83.24,15.0,10,41
vehicle_issue,3,6.98,67.88,12.0,11,49
vehicle_issue,3,9.02,57.31,14.0,12,53
blockage,2,4.76,81.81,19.0,21,179
congestion,1,8.76,81.31,22.0,52,146
blockage,2,8.98,1.0,10.0,15,192
congestion,1,4.79,107.61,18.0,62,164
vehicle_issue,3,1.87,46.24,11.0,5,21
blockage,2,7.01,44.55,3.0,18,164
congestion,1,1.19,47.35,14.0,18,45
blockage,2,9.0,83.55,22.0,28,288
blockage,2,3.8,43.87,10.0,14,119
weather,0,7.73,46.65,12.0,33,91
weather,0,8.02,8.73,17.0,30,90
weather,0,4.91,49.82,19.0,34,91
weather,0,10.0,19.47,0.0,31,91
congestion,1,7.97,104.82,1.0,55,151
blockage,2,8.99,37.99,11.0,21,238
blockage,2,1.18,117.01,2.0,20,154
congestion,1,5.16,81.31,22.0,40,107
vehicle_issue,3,10.0,93.14,16.0,15,67
blockage,2,8.87,115.1,14.0,33,326
weather,0,4.92,27.72,14.0,21,58
vehicle_issue,3,1.11,67.63,11.0,6,25
blockage,2,3.2,6.52,1.0,6,55
blockage,2,5.81,14.42,18.0,12,112
blockage,2,7.23,45.31,11.0,18,166
blockage,2,9.88,82.79,9.0,29,309
weather,0,1.1,99.04,10.0,29,68
blockage,2,4.42,31.55,11.0,11,102
vehicle_issue,3,2.76,89.99,22.0,10,39
congestion,1,10.0,25.45,4.0,38,116
blockage,2,1.95,2.2,4.0,3,34
weather,0,3.07,6.95,2.0,10,28
congestion,1,2.91,72.76,14.0,30,80
congestion,1,1.63,61.95,0.0,24,63
vehicle_issue,3,6.89,33.48,19.0,8,38
weather,0,6.05,3.46,17.0,21,64
congestion,1,6.2,69.52,17.0,50,139
congestion,1,10.0,98.27,11.0,59,167
vehicle_issue,3,5.22,7.08,9.0,5,23
vehicle_issue,3,3.93,88.36,22.0,10,43
weather,0,3.91,76.0,19.0,39,101
weather,0,9.05,57.83,4.0,38,107
vehicle_issue,3,5.94,6.46,6.0,5,26
weather,0,2.17,112.56,5.0,34,83
vehicle_issue,3,6.79,59.62,11.0,10,45
congestion,1,8.13,47.87,15.0,39,112
vehicle_issue,3,3.18,101.51,5.0,11,43
congestion,1,6.05,100.14,1.0,48,131
congestion,1,6.14,89.36,9.0,58,157
blockage,2,1.9,101.14,12.0,19,152
weather,0,1.0,14.09,16.0,7,17
blockage,2,8.05,89.3,2.0,27,278
blockage,2,6.89,39.11,16.0,18,160
vehicle_issue,3,8.05,106.89,3.0,15,63
vehicle_issue,3,4.05,45.73,7.0,7,30
blockage,2,5.99,7.15,12.0,11,105
congestion,1,10.0,50.11,2.0,45,132
congestion,1,3.1,88.28,13.0,36,94
congestion,1,6.98,60.16,0.0,39,111
vehicle_issue,3,1.93,93.76,5.0,9,36
congestion,1,1.12,4.61,13.0,5,13
weather,0,10.0,21.73,6.0,32,93
congestion,1,2.07,68.59,10.0,26,68
weather,0,7.09,45.21,6.0,30,84
weather,0,6.02,82.4,12.0,37,97
weather,0,8.95,114.26,3.0,53,141
vehicle_issue,3,5.91,78.75,3.0,11,48
blockage,2,6.99,50.13,23.0,19,173
blockage,2,9.07,64.93,7.0,25,268
congestion,1,9.08,109.75,16.0,60,165
blockage,2,8.02,80.99,0.0,26,265
weather,0,2.05,96.33,2.0,30,74
vehicle_issue,3,1.83,37.08,18.0,5,19
blockage,2,4.93,88.24,8.0,22,188
vehicle_issue,3,7.1,14.36,7.0,7,33
weather,0,6.87,90.19,4.0,42,110
congestion,1,8.02,104.87,6.0,56,153
blockage,2,2.01,108.78,5.0,20,162
congestion,1,1.98,14.07,19.0,14,39
congestion,1,2.1,96.95,22.0,36,91
weather,0,6.03,13.92,0.0,19,56
congestion,1,6.82,59.48,3.0,38,109
weather,0,2.08,82.67,15.0,27,65
congestion,1,8.92,56.47,21.0,45,129
blockage,2,3.8,40.46,7.0,13,114
blockage,2,7.11,81.65,20.0,24,211
blockage,2,7.82,79.32,0.0,26,264
congestion,1,1.0,69.52,17.0,31,78
vehicle_issue,3,9.04,61.27,22.0,12,55
weather,0,9.99,84.79,11.0,48,131
congestion,1,9.91,51.15,14.0,45,131
weather,0,1.85,8.22,6.0,8,22
congestion,1,3.89,63.13,18.0,41,111
vehicle_issue,3,2.84,89.24,19.0,9,38
congestion,1,4.98,39.48,19.0,34,97
vehicle_issue,3,9.92,17.09,20.0,9,45
congestion,1,7.79,109.86,1.0,57,156
blockage,2,7.96,104.13,12.0,29,293
congestion,1,4.9,75.93,12.0,37,102
congestion,1,10.0,92.92,1.0,58,164
vehicle_issue,3,10.0,116.26,19.0,17,75
vehicle_issue,3,9.2,67.07,4.0,13,57
congestion,1,9.1,30.62,10.0,36,108
vehicle_issue,3,6.84,79.27,1.0,12,51
congestion,1,1.0,110.3,18.0,47,115
blockage,2,2.77,81.83,4.0,18,148
vehicle_issue,3,7.92,5.59,12.0,7,33
congestion,1,3.76,109.18,12.0,45,118
blockage,2,1.91,91.41,2.0,18,141
congestion,1,10.0,47.64,20.0,45,131
weather,0,4.92,116.51,0.0,44,111
weather,0,9.04,85.76,15.0,46,124
congestion,1,2.91,95.15,4.0,39,100
vehicle_issue,3,3.89,111.57,14.0,12,50
weather,0,4.26,8.91,5.0,12,35
congestion,1,4.0,88.97,17.0,52,137
blockage,2,5.02,44.64,13.0,16,136
weather,0,3.13,107.01,15.0,35,87
blockage,2,9.13,104.16,23.0,31,316
congestion,1,3.95,99.0,10.0,42,110
vehicle_issue,3,5.16,93.68,18.0,11,48
blockage,2,8.93,93.03,19.0,30,304
blockage,2,5.15,37.87,7.0,14,124
weather,0,1.0,49.22,7.0,20,49
congestion,1,1.0,13.75,16.0,7,20
vehicle_issue,3,5.03,101.22,22.0,12,50
weather,0,7.05,75.9,0.0,38,103
vehicle_issue,3,9.87,73.96,2.0,14,62
congestion,1,1.75,28.78,4.0,15,41
blockage,2,6.07,72.32,15.0,21,185
blockage,2,2.97,58.1,10.0,14,114
congestion,1,4.94,119.59,12.0,51,134
congestion,1,5.25,105.12,7.0,60,159
blockage,2,3.96,62.82,10.0,17,140
weather,0,1.0,95.66,18.0,36,86
blockage,2,1.0,15.93,10.0,5,41
weather,0,5.84,12.62,9.0,25,73
blockage,2,3.13,73.51,1.0,17,139
blockage,2,3.89,87.64,9.0,20,169
weather,0,1.09,5.36,18.0,6,16
vehicle_issue,3,1.0,25.6,3.0,3,11
congestion,1,1.87,67.99,8.0,33,86
vehicle_issue,3,3.87,12.74,6.0,4,19
weather,0,2.07,51.98,11.0,19,47
weather,0,2.97,58.38,19.0,30,77
congestion,1,3.83,109.65,20.0,45,118
weather,0,3.11,37.43,9.0,23,61
congestion,1,1.07,19.72,13.0,9,25
blockage,2,2.05,4.12,19.0,4,34
weather,0,10.0,14.91,20.0,30,89
blockage,2,6.87,93.64,14.0,26,220
weather,0,2.19,52.51,3.0,19,48
weather,0,2.98,24.39,9.0,18,50
blockage,2,4.04,110.1,6.0,24,198
vehicle_issue,3,10.0,95.5,16.0,16,68
weather,0,8.86,14.3,5.0,27,81
congestion,1,8.28,32.95,0.0,34,101
vehicle_issue,3,2.0,101.64,21.0,10,39
vehicle_issue,3,5.01,84.23,2.0,11,45
blockage,2,4.94,114.51,18.0,26,216
congestion,1,7.17,11.35,22.0,24,74
congestion,1,9.18,91.89,20.0,55,154
blockage,2,4.02,10.58,11.0,8,76
blockage,2,5.78,40.35,13.0,16,145
congestion,1,2.98,92.29,17.0,47,122
weather,0,2.99,85.97,5.0,30,75
weather,0,3.93,1.75,10.0,11,33
vehicle_issue,3,7.85,24.58,9.0,8,40
congestion,1,4.77,92.48,6.0,43,115
congestion,1,7.22,16.11,13.0,26,79
congestion,1,7.11,41.64,10.0,33,96
vehicle_issue,3,4.01,21.75,0.0,5,23
weather,0,9.9,16.28,2.0,30,89
weather,0,1.05,101.45,15.0,29,68
congestion,1,9.03,5.25,13.0,29,92
congestion,1,1.0,63.43,20.0,22,56
blockage,2,4.06,86.83,1.0,20,164
congestion,1,9.08,7.72,7.0,38,120
congestion,1,7.1,75.04,9.0,57,159
vehicle_issue,3,3.87,39.49,16.0,6,28
weather,0,9.06,100.0,10.0,49,132
blockage,2,2.18,97.28,11.0,19,147
blockage,2,7.04,94.99,22.0,26,227
congestion,1,6.33,47.24,0.0,33,92
vehicle_issue,3,2.97,95.5,21.0,10,42
congestion,1,9.74,74.64,6.0,53,151
vehicle_issue,3,7.87,45.05,0.0,10,46
congestion,1,1.0,11.08,12.0,6,17
blockage,2,1.08,9.61,5.0,3,27
blockage,2,1.12,33.06,17.0,7,53
vehicle_issue,3,5.02,34.91,18.0,7,31
congestion,1,5.04,111.6,9.0,63,167
congestion,1,8.29,120.0,18.0,78,212
weather,0,6.88,16.6,4.0,23,67
congestion,1,1.0,114.57,8.0,48,118
vehicle_issue,3,4.93,87.66,1.0,11,46
weather,0,7.82,60.34,15.0,36,100
vehicle_issue,3,8.7,113.88,17.0,16,70
blockage,2,3.19,88.14,18.0,19,151
weather,0,1.0,72.26,8.0,28,66
congestion,1,1.96,24.08,20.0,14,38
blockage,2,4.06,29.81,15.0,11,100
congestion,1,4.82,108.96,13.0,48,127
weather,0,3.87,25.33,5.0,17,48
blockage,2,1.0,3.6,20.0,2,22
blockage,2,3.93,31.7,18.0,12,103
weather,0,2.81,59.42,21.0,23,59
congestion,1,5.09,46.06,8.0,38,106
weather,0,1.0,112.53,13.0,32,75
blockage,2,8.02,52.25,1.0,21,229
blockage,2,5.01,106.35,14.0,25,208
blockage,2,4.15,70.0,12.0,18,150
vehicle_issue,3,10.0,64.82,19.0,13,59
vehicle_issue,3,7.87,19.53,17.0,8,38
congestion,1,2.17,35.97,23.0,16,43
weather,0,1.93,105.71,22.0,32,79
blockage,2,1.0,94.59,4.0,17,129
vehicle_issue,3,5.86,54.54,23.0,9,40
vehicle_issue,3,3.65,110.88,0.0,12,49
weather,0,3.91,98.87,10.0,36,91
weather,0,6.06,11.04,22.0,19,57
weather,0,5.8,72.95,14.0,35,92
weather,0,1.26,96.96,23.0,28,66
blockage,2,1.66,95.69,13.0,19,149
blockage,2,7.88,15.79,16.0,15,182
congestion,1,9.78,27.48,12.0,38,116
congestion,1,9.14,51.04,22.0,42,123
vehicle_issue,3,10.0,32.66,2.0,10,49
congestion,1,4.96,14.91,9.0,25,76
vehicle_issue,3,8.79,75.64,16.0,13,59
vehicle_issue,3,8.82,62.0,11.0,12,54
congestion,1,9.04,19.11,23.0,33,100
weather,0,1.9,70.66,13.0,24,58
vehicle_issue,3,1.92,6.68,3.0,2,11
blockage,2,4.99,46.21,14.0,15,136
congestion,1,5.94,93.5,7.0,61,164
blockage,2,9.74,106.89,11.0,33,338
blockage,2,3.8,29.59,1.0,11,100
vehicle_issue,3,8.8,104.05,20.0,15,67
congestion,1,8.89,104.86,9.0,77,213
vehicle_issue,3,10.0,71.81,19.0,14,62
vehicle_issue,3,2.01,116.52,11.0,11,43
weather,0,3.18,30.28,22.0,16,42
weather,0,2.79,8.83,8.0,13,38
blockage,2,8.05,103.04,2.0,29,290
weather,0,6.88,59.46,11.0,34,92
congestion,1,5.3,42.2,0.0,28,78
congestion,1,1.0,6.02,19.0,7,20
vehicle_issue,3,5.92,8.27,22.0,5,27
vehicle_issue,3,8.04,9.8,5.0,7,36
weather,0,5.03,23.64,1.0,19,54
vehicle_issue,3,2.94,117.75,18.0,12,47
weather,0,6.09,32.24,16.0,25,69
blockage,2,7.23,98.27,19.0,27,230
vehicle_issue,3,6.14,3.14,13.0,5,25
vehicle_issue,3,8.98,41.11,13.0,10,48
weather,0,4.27,107.3,6.0,39,97
vehicle_issue,3,7.07,21.86,7.0,7,35
weather,0,8.84,35.2,15.0,32,93
blockage,2,3.01,98.67,22.0,21,167
congestion,1,2.97,14.75,7.0,18,52
congestion,1,1.0,6.62,8.0,7,19
weather,0,4.05,116.78,14.0,41,102
vehicle_issue,3,1.0,50.9,1.0,5,19
congestion,1,8.24,79.18,15.0,48,134
blockage,2,1.09,15.69,3.0,4,35
congestion,1,6.72,28.2,16.0,29,87
congestion,1,6.09,56.01,21.0,35,98
vehicle_issue,3,10.0,81.54,21.0,15,64
weather,0,4.22,37.6,3.0,20,54
blockage,2,4.26,104.7,14.0,23,192
blockage,2,3.28,93.61,10.0,20,161
congestion,1,5.96,65.13,11.0,38,106
congestion,1,3.08,54.8,16.0,26,69
weather,0,1.93,72.79,23.0,25,61
vehicle_issue,3,10.0,87.53,13.0,15,66
vehicle_issue,3,6.68,17.66,13.0,7,33
weather,0,1.81,98.55,15.0,32,78
weather,0,6.93,58.71,12.0,34,92
weather,0,3.99,112.17,8.0,51,129
weather,0,2.02,114.29,19.0,46,110
vehicle_issue,3,5.19,2.19,15.0,4,21
vehicle_issue,3,7.9,48.23,13.0,10,46
weather,0,1.0,65.01,0.0,19,46
blockage,2,3.94,66.92,6.0,17,142
weather,0,9.91,98.06,6.0,52,139
congestion,1,4.08,18.06,15.0,17,51
blockage,2,1.23,74.01,2.0,14,106
blockage,2,5.22,111.59,9.0,26,216
vehicle_issue,3,7.16,117.91,10.0,15,64
weather,0,9.91,2.5,17.0,35,106
weather,0,6.98,117.95,3.0,49,126
congestion,1,1.06,17.43,14.0,8,21
congestion,1,8.88,64.83,13.0,46,133
vehicle_issue,3,7.9,29.28,17.0,9,41
vehicle_issue,3,7.06,73.05,4.0,11,50
congestion,1,8.8,6.86,14.0,29,90
vehicle_issue,3,8.16,31.83,9.0,9,41
congestion,1,2.94,38.57,6.0,20,55
blockage,2,5.08,111.62,1.0,26,212
congestion,1,6.03,72.54,9.0,51,141
weather,0,5.19,85.41,10.0,35,91
vehicle_issue,3,6.68,81.82,1.0,12,52
weather,0,8.19,49.29,19.0,43,120
weather,0,2.19,3.47,16.0,6,18
weather,0,6.04,15.0,7.0,25,73
congestion,1,1.08,54.69,1.0,20,50
weather,0,6.09,115.1,16.0,45,116
weather,0,4.86,29.85,0.0,21,58
blockage,2,3.01,85.77,10.0,18,149
vehicle_issue,3,10.0,99.27,4.0,16,70
weather,0,2.73,108.1,5.0,36,89
congestion,1,1.07,32.91,18.0,18,46
blockage,2,4.01,111.47,7.0,24,198
vehicle_issue,3,8.09,71.43,5.0,12,54
blockage,2,1.0,60.12,7.0,11,90
vehicle_issue,3,4.89,94.36,3.0,11,48
blockage,2,4.79,27.12,17.0,13,115
congestion,1,8.79,99.55,11.0,56,157
weather,0,1.12,82.08,4.0,23,55
vehicle_issue,3,1.0,95.38,7.0,8,33
vehicle_issue,3,5.9,104.61,23.0,13,55
weather,0,2.16,72.4,13.0,25,61
blockage,2,7.95,6.0,16.0,14,174
weather,0,3.14,36.93,20.0,17,46
blockage,2,5.84,110.11,9.0,26,223
vehicle_issue,3,1.0,75.04,8.0,7,27
weather,0,6.86,107.59,23.0,46,120
congestion,1,6.08,46.52,13.0,32,91
weather,0,1.0,60.54,5.0,18,45
blockage,2,3.11,103.39,20.0,21,172
vehicle_issue,3,1.02,91.42,18.0,8,32
weather,0,1.0,44.95,9.0,19,46
congestion,1,6.96,4.1,6.0,22,70
vehicle_issue,3,4.77,104.46,15.0,12,52
congestion,1,9.05,94.0,13.0,55,155
weather,0,3.08,57.38,5.0,22,57
congestion,1,8.1,65.83,1.0,44,124
blockage,2,6.98,26.63,19.0,15,142
blockage,2,6.76,49.89,20.0,19,172
congestion,1,9.03,21.55,21.0,33,101
vehicle_issue,3,8.06,25.84,8.0,8,40
blockage,2,7.97,97.82,16.0,29,290
congestion,1,8.01,44.05,14.0,37,109
vehicle_issue,3,4.72,96.5,6.0,12,49
vehicle_issue,3,8.01,56.95,22.0,11,49
congestion,1,8.98,10.43,8.0,39,121
weather,0,7.82,46.72,0.0,32,90
blockage,2,7.08,17.69,3.0,14,136
blockage,2,1.0,83.14,23.0,15,116
weather,0,5.03,109.53,1.0,41,106
blockage,2,1.07,91.87,12.0,16,126
vehicle_issue,3,2.05,93.68,11.0,9,36
weather,0,3.8,104.44,18.0,49,122
blockage,2,4.94,92.74,19.0,23,192
weather,0,6.32,68.4,11.0,33,89
blockage,2,10.0,86.59,15.0,30,313
congestion,1,8.13,49.45,19.0,51,147
weather,0,5.04,8.51,19.0,20,59
vehicle_issue,3,3.85,84.9,21.0,10,42
weather,0,7.98,86.01,16.0,43,116
blockage,2,2.94,26.13,9.0,9,81
weather,0,8.99,112.86,13.0,53,141
vehicle_issue,3,7.78,7.13,17.0,7,34
blockage,2,7.14,90.66,7.0,25,218
vehicle_issue,3,2.6,116.79,23.0,12,47
congestion,1,7.13,36.37,10.0,32,94
congestion,1,9.13,111.92,18.0,78,215
blockage,2,1.35,98.55,12.0,17,135
vehicle_issue,3,1.96,91.88,22.0,9,35
vehicle_issue,3,5.92,114.39,16.0,14,58
weather,0,4.02,79.2,17.0,40,103
blockage,2,8.08,59.35,18.0,22,240
weather,0,4.99,80.95,7.0,44,115
congestion,1,9.82,52.07,8.0,58,172
vehicle_issue,3,3.08,39.43,19.0,6,24
congestion,1,4.0,12.21,11.0,15,46
vehicle_issue,3,1.0,46.07,15.0,4,18
congestion,1,2.76,96.43,12.0,38,98
weather,0,3.37,114.44,0.0,37,92
congestion,1,8.12,116.82,11.0,59,161
blockage,2,4.08,24.42,4.0,10,95
vehicle_issue,3,2.98,67.86,2.0,8,33
blockage,2,4.1,70.37,6.0,18,147
vehicle_issue,3,5.84,18.59,7.0,7,31
vehicle_issue,3,8.03,70.76,17.0,12,53
vehicle_issue,3,10.0,42.04,6.0,12,53
blockage,2,1.0,113.36,19.0,20,152
congestion,1,8.98,33.41,5.0,36,109
congestion,1,3.94,99.07,19.0,55,144
weather,0,8.89,108.49,12.0,51,137
congestion,1,1.0,90.29,1.0,30,73
vehicle_issue,3,6.74,25.64,2.0,8,36
congestion,1,10.0,31.03,1.0,40,119
weather,0,1.23,117.16,9.0,43,101
blockage,2,7.86,11.87,7.0,14,180
vehicle_issue,3,2.17,18.32,1.0,3,12
vehicle_issue,3,10.0,116.29,16.0,17,75
congestion,1,8.0,94.47,20.0,52,144
congestion,1,9.81,89.08,20.0,57,161
blockage,2,8.92,18.41,3.0,18,213
weather,0,4.08,58.85,20.0,26,68
congestion,1,4.85,100.75,10.0,45,121
weather,0,6.89,40.23,4.0,29,80
vehicle_issue,3,1.92,24.53,3.0,4,15
blockage,2,3.49,2.65,18.0,7,67
vehicle_issue,3,1.05,76.92,6.0,7,27
vehicle_issue,3,9.1,38.82,15.0,10,47
vehicle_issue,3,3.05,103.82,13.0,11,43
weather,0,5.14,33.96,22.0,22,61
vehicle_issue,3,4.93,18.7,17.0,6,26
weather,0,4.27,114.95,18.0,52,132
congestion,1,7.87,114.91,11.0,59,160
blockage,2,9.97,80.25,12.0,29,309
congestion,1,5.95,109.48,3.0,51,138
weather,0,9.03,21.33,18.0,37,109
weather,0,1.96,56.92,18.0,26,64
vehicle_issue,3,9.98,25.79,7.0,10,48
congestion,1,1.9,57.64,3.0,23,61
congestion,1,1.0,94.44,18.0,41,102
vehicle_issue,3,1.0,99.44,18.0,9,34
weather,0,3.12,1.0,18.0,11,32
vehicle_issue,3,8.85,46.3,0.0,11,50
vehicle_issue,3,3.93,117.18,20.0,13,52
blockage,2,7.84,71.43,8.0,24,253
weather,0,5.09,35.09,5.0,22,62
weather,0,1.92,47.36,12.0,17,44
congestion,1,4.63,37.18,20.0,27,76
blockage,2,3.04,55.18,19.0,13,113
weather,0,2.89,54.54,4.0,22,56
congestion,1,6.0,60.53,23.0,36,102
weather,0,8.12,58.36,18.0,46,127
blockage,2,5.85,62.28,22.0,20,171
weather,0,2.99,4.5,22.0,9,27
blockage,2,7.88,5.16,12.0,14,177
weather,0,7.15,44.03,0.0,30,83
weather,0,3.01,105.32,1.0,35,88
weather,0,9.0,96.27,15.0,48,129
vehicle_issue,3,8.81,15.55,2.0,8,40
weather,0,7.11,59.04,15.0,34,92
congestion,1,3.13,73.16,2.0,31,81
blockage,2,3.89,59.59,19.0,16,134
blockage,2,5.02,83.49,6.0,21,181
blockage,2,2.09,117.51,2.0,22,176
vehicle_issue,3,4.33,13.57,8.0,4,20
congestion,1,2.06,62.94,21.0,25,64
vehicle_issue,3,2.0,62.44,13.0,7,27
congestion,1,7.98,69.34,23.0,44,126
vehicle_issue,3,1.99,22.46,6.0,3,14
blockage,2,5.12,77.93,16.0,20,172
blockage,2,4.87,4.54,4.0,9,88
vehicle_issue,3,1.14,86.93,10.0,8,31
vehicle_issue,3,8.77,80.43,9.0,14,60
vehicle_issue,3,10.0,40.4,15.0,11,52
blockage,2,7.14,118.91,16.0,30,254
weather,0,7.12,102.14,1.0,44,116
congestion,1,3.04,66.58,16.0,29,76
weather,0,9.06,118.62,18.0,71,186
vehicle_issue,3,7.94,98.7,9.0,14,62
weather,0,4.83,18.37,1.0,18,50
weather,0,8.04,71.99,10.0,39,107
weather,0,10.0,69.78,7.0,57,159
blockage,2,7.14,74.6,19.0,24,206
blockage,2,1.98,111.56,3.0,21,168
vehicle_issue,3,4.02,60.87,7.0,8,34
congestion,1,2.04,8.26,17.0,12,35
congestion,1,4.09,58.87,22.0,29,80
weather,0,9.14,95.37,14.0,48,129
weather,0,1.86,42.21,0.0,17,42
congestion,1,9.11,5.55,16.0,28,89
vehicle_issue,3,2.97,36.98,0.0,5,23
blockage,2,5.1,81.98,1.0,21,179
vehicle_issue,3,6.22,9.48,16.0,6,27
weather,0,1.68,47.65,8.0,22,56
weather,0,2.18,15.01,0.0,10,26
vehicle_issue,3,3.98,55.79,9.0,8,33
weather,0,1.0,18.01,9.0,9,24
weather,0,7.93,12.53,14.0,24,72
congestion,1,5.85,87.1,22.0,43,118
vehicle_issue,3,9.08,18.32,2.0,9,42
blockage,2,8.84,20.59,15.0,18,212
weather,0,4.18,73.96,15.0,29,75
vehicle_issue,3,9.1,7.27,23.0,8,38
vehicle_issue,3,1.03,3.77,9.0,1,5
vehicle_issue,3,4.69,52.82,3.0,8,36
vehicle_issue,3,6.8,46.43,21.0,9,41
weather,0,4.99,63.55,1.0,30,79
vehicle_issue,3,8.0,120.0,10.0,16,68
congestion,1,9.14,53.44,15.0,43,124
vehicle_issue,3,4.56,72.44,2.0,10,41
blockage,2,2.89,111.04,7.0,22,180
vehicle_issue,3,6.13,58.73,2.0,9,42
blockage,2,8.95,95.03,20.0,29,302
blockage,2,9.93,64.44,6.0,27,290
blockage,2,8.76,75.58,14.0,27,281
vehicle_issue,3,3.16,112.1,5.0,11,46
blockage,2,2.93,1.0,16.0,5,49
weather,0,6.16,107.28,19.0,57,147
vehicle_issue,3,5.22,63.26,0.0,9,38
blockage,2,7.2,75.89,17.0,23,200
congestion,1,10.0,50.79,15.0,46,135
blockage,2,5.93,32.06,1.0,15,134
vehicle_issue,3,3.92,7.11,6.0,4,19
vehicle_issue,3,9.3,115.23,20.0,16,70
