distance_km,estimated_time_min,weather_risk,traffic_risk,disruption_risk,cost,route_score
88.2,114.7,0.1827,0.3946,0.0709,139.53,0.9128
195.6,344.2,0.2483,0.2068,0.2939,603.8,0.8432
176.0,146.6,0.257,0.3394,0.1971,696.39,0.7878
156.5,242.3,0.0506,0.2563,0.1413,377.96,0.9903
201.8,199.8,0.0457,0.5262,0.2731,656.69,0.8612
696.8,1278.9,0.2497,0.2779,0.0569,2361.76,0.7391
133.5,169.4,0.1309,0.2004,0.0935,241.65,0.9083
481.9,855.2,0.1332,0.4893,0.4506,1828.32,0.7259
75.3,125.7,0.6,0.3144,0.1068,195.92,0.8088
193.6,358.7,0.0877,0.6017,0.2979,481.7,0.826
274.2,389.5,0.2387,0.6383,0.3324,643.64,0.7614
368.8,510.2,0.0874,0.2102,0.1393,686.24,0.8837
402.6,340.1,0.5163,0.5501,0.3277,808.6,0.7281
426.4,614.2,0.4302,0.4105,0.3339,1261.45,0.6368
191.7,273.4,0.238,0.6851,0.1327,612.7,0.7397
177.0,270.5,0.4307,0.5436,0.0144,472.48,0.7816
446.1,427.0,0.1192,0.1551,0.1509,1625.91,0.8203
214.0,309.9,0.1141,0.2653,0.3699,492.3,0.8348
100.2,134.7,0.4341,0.1871,0.2331,398.32,0.816
110.7,167.7,0.1487,0.5975,0.1381,320.16,0.7022
128.6,204.7,0.0054,0.2225,0.1857,236.15,0.8218
346.5,427.5,0.1052,0.3432,0.2163,1020.9,0.9592
270.3,379.8,0.092,0.5139,0.0167,761.4,0.8881
396.8,505.5,0.5432,0.4516,0.1446,892.91,0.7283
181.4,311.8,0.448,0.1953,0.2743,345.71,0.7582
273.4,480.0,0.2518,0.2422,0.1756,916.18,0.92
379.1,436.6,0.1833,0.3346,0.0583,1131.03,0.7745
197.0,219.0,0.1371,0.1237,0.0815,525.56,0.8889
336.9,543.7,0.1728,0.3385,0.2553,593.68,0.7599
154.0,266.2,0.1817,0.5229,0.0233,582.41,0.8403
189.8,154.3,0.1367,0.5753,0.0323,614.8,0.891
187.3,245.9,0.7798,0.5003,0.2729,463.56,0.7348
105.9,123.9,0.2299,0.0768,0.0206,267.63,0.9693
344.1,591.8,0.2101,0.1775,0.2465,588.44,0.7532
176.2,171.3,0.2527,0.0794,0.0684,507.72,0.9397
246.8,428.0,0.1403,0.6025,0.2016,689.75,0.6871
342.6,546.0,0.3799,0.31,0.2484,631.37,0.8163
334.5,605.9,0.1951,0.5872,0.2087,809.2,0.8619
389.9,775.1,0.1649,0.2597,0.1776,632.44,0.7831
228.4,313.3,0.2982,0.5979,0.1088,887.46,0.7547
181.9,298.3,0.059,0.4573,0.4652,481.17,0.808
231.4,382.3,0.3981,0.1309,0.2655,727.91,0.9611
75.1,136.2,0.5388,0.2997,0.5415,122.63,0.8084
88.9,126.3,0.3866,0.5514,0.3995,306.92,0.7241
96.9,90.1,0.1859,0.4318,0.1621,233.63,0.9367
121.7,240.5,0.2803,0.2782,0.2802,463.51,0.9123
323.7,281.0,0.1904,0.6875,0.0804,1012.37,0.7961
129.8,253.8,0.1095,0.1909,0.1288,347.64,0.8983
187.8,207.8,0.6662,0.6687,0.3417,563.21,0.6569
607.6,845.1,0.6207,0.5156,0.45,1988.87,0.6378
190.7,370.1,0.4312,0.6111,0.268,314.34,0.7653
410.0,661.0,0.3505,0.4264,0.3078,847.44,0.6759
127.3,191.3,0.4867,0.6254,0.405,313.53,0.6826
211.9,252.4,0.0969,0.1881,0.039,772.29,0.8608
125.8,144.8,0.2506,0.3765,0.151,451.06,0.9072
193.0,162.0,0.2048,0.3803,0.3157,300.57,0.8893
440.6,662.5,0.4943,0.4034,0.2024,933.89,0.7746
73.0,96.1,0.2382,0.2462,0.0205,168.44,0.9398
331.7,354.6,0.1519,0.2047,0.4221,1139.74,0.8518
289.0,364.4,0.1915,0.5636,0.0342,742.16,0.8567
161.4,311.4,0.5841,0.2306,0.0844,541.25,0.8997
88.9,161.7,0.1422,0.5588,0.1847,154.53,0.8236
257.4,338.8,0.1101,0.2704,0.5995,610.5,0.7803
168.9,333.8,0.0641,0.2853,0.1238,270.54,0.8858
288.0,390.1,0.4747,0.2894,0.3587,1078.21,0.7835
248.5,302.9,0.0633,0.6124,0.2327,383.53,0.8518
750.9,950.2,0.3094,0.5249,0.1743,2411.43,0.7606
206.9,382.8,0.4106,0.25,0.0238,610.76,0.9257
119.5,134.0,0.2063,0.4563,0.3316,209.06,0.814
277.4,295.9,0.1671,0.5118,0.1938,883.76,0.8158
285.4,557.3,0.124,0.5882,0.1437,653.93,0.8131
633.6,1065.2,0.2733,0.432,0.1931,2427.23,0.71
439.0,753.6,0.2838,0.64,0.3568,1633.14,0.6818
314.1,530.4,0.3233,0.3057,0.0405,940.84,0.8379
681.5,1103.7,0.2403,0.1876,0.0655,1882.93,0.723
106.5,96.8,0.0103,0.1087,0.0785,249.55,0.9538
156.4,266.5,0.3036,0.596,0.0561,488.82,0.7418
127.9,140.5,0.5325,0.1793,0.4012,425.1,0.8268
186.3,178.6,0.0441,0.2345,0.1802,591.0,0.9018
93.3,184.8,0.3516,0.6093,0.227,181.8,0.8884
381.7,318.1,0.1283,0.4078,0.2409,1463.89,0.8363
209.4,175.5,0.3859,0.4912,0.1781,395.1,0.7838
87.4,102.4,0.0896,0.3387,0.0454,308.16,0.8527
120.2,217.9,0.081,0.7473,0.1296,315.71,0.8977
304.7,601.4,0.4992,0.2614,0.1284,1107.52,0.8284
440.0,414.5,0.6151,0.1895,0.2618,743.19,0.7183
990.0,1261.8,0.2372,0.7247,0.0663,2703.88,0.7106
1881.3,3162.7,0.4985,0.3739,0.1651,4315.97,0.5007
327.0,515.0,0.2864,0.2274,0.2345,622.63,0.8397
122.4,132.2,0.5099,0.1356,0.137,338.14,0.9048
55.0,65.7,0.3437,0.6691,0.1123,185.29,0.7899
295.1,446.6,0.215,0.2849,0.3148,783.17,0.7405
138.5,116.7,0.0582,0.458,0.1609,553.27,0.8948
183.0,312.8,0.2042,0.4289,0.0669,470.94,0.8549
159.4,180.2,0.149,0.4751,0.0902,513.57,0.8923
221.7,397.8,0.5955,0.4727,0.129,711.3,0.8065
516.0,836.2,0.4282,0.2254,0.0871,1917.01,0.8149
273.1,430.0,0.3673,0.3391,0.2362,982.78,0.8367
219.0,376.8,0.3756,0.4696,0.0434,445.81,0.7544
118.5,105.5,0.637,0.408,0.1542,355.45,0.767
75.8,84.3,0.1238,0.2641,0.1773,194.8,0.9347
174.1,248.3,0.1933,0.314,0.2946,474.3,0.8186
235.7,408.3,0.1945,0.1712,0.23,723.67,0.8664
843.5,1534.2,0.0744,0.7878,0.2398,2021.38,0.6488
268.1,337.4,0.1563,0.4773,0.3442,877.75,0.8587
486.8,853.1,0.206,0.3722,0.2174,1218.12,0.7977
172.5,183.6,0.2002,0.2737,0.127,674.07,0.8805
106.8,96.0,0.008,0.4518,0.2609,294.64,0.9204
124.5,136.5,0.359,0.6547,0.3181,439.64,0.7785
147.3,277.4,0.2046,0.5224,0.052,221.37,0.8762
1085.6,1577.3,0.3156,0.8358,0.1429,3315.81,0.6211
137.7,189.7,0.3044,0.3422,0.3734,480.32,0.8109
440.1,744.6,0.0203,0.3796,0.1178,744.53,0.8596
130.1,105.6,0.4253,0.6459,0.292,213.42,0.8358
469.7,442.4,0.3056,0.3783,0.1831,1672.32,0.8471
320.4,294.6,0.1921,0.5102,0.5305,1250.9,0.758
219.3,207.4,0.2848,0.8364,0.1344,706.32,0.858
237.8,319.6,0.2279,0.2054,0.1542,673.57,0.8245
154.7,175.9,0.3508,0.1698,0.1804,328.17,0.9168
334.4,582.8,0.1158,0.1417,0.0123,971.56,0.9806
178.0,321.5,0.3639,0.1315,0.1944,501.15,0.8789
103.8,198.2,0.3607,0.4924,0.1173,326.61,0.7699
100.0,103.6,0.4643,0.589,0.1726,395.47,0.7637
276.1,387.5,0.3622,0.267,0.1143,547.36,0.825
739.0,634.4,0.082,0.8152,0.1304,1481.14,0.7203
273.7,297.7,0.6407,0.635,0.0995,1008.29,0.7742
225.2,346.4,0.0253,0.2403,0.0543,822.92,0.8156
298.9,390.6,0.159,0.0813,0.1569,499.1,0.8804
610.5,994.3,0.7083,0.1596,0.3067,1109.41,0.7865
285.3,515.6,0.4103,0.6047,0.1606,854.82,0.7832
183.5,159.9,0.3083,0.1443,0.181,380.78,0.9392
530.8,1022.5,0.0948,0.2887,0.1347,1791.97,0.7363
330.3,281.1,0.4999,0.0875,0.0689,936.4,0.9447
717.0,1418.2,0.2235,0.3946,0.2853,2164.94,0.6803
278.2,435.4,0.4638,0.36,0.0615,635.46,0.8057
103.8,88.5,0.4243,0.5469,0.3176,236.55,0.8211
93.9,119.5,0.3451,0.1692,0.1286,335.06,0.9209
777.2,862.5,0.6661,0.4438,0.2885,1761.41,0.6901
817.8,1437.9,0.3752,0.6093,0.1957,1320.48,0.7058
215.8,231.0,0.2935,0.5959,0.2058,445.28,0.6817
187.1,335.2,0.2826,0.3867,0.4641,594.63,0.7891
680.6,799.6,0.5232,0.5481,0.263,1083.07,0.7666
112.7,224.0,0.3759,0.1973,0.2265,206.57,0.8595
130.8,147.1,0.2971,0.437,0.298,413.92,0.8092
383.9,622.6,0.3342,0.4009,0.0916,1027.17,0.7987
185.6,326.8,0.2026,0.1707,0.1602,692.7,0.8855
243.8,258.4,0.3804,0.1511,0.2319,787.43,0.838
218.2,194.4,0.2682,0.349,0.1767,488.73,0.9009
309.9,452.9,0.2951,0.44,0.1479,943.87,0.7632
655.4,1056.8,0.3507,0.3741,0.3355,2482.39,0.7529
260.7,464.3,0.347,0.5137,0.49,942.49,0.748
384.0,432.9,0.3205,0.1307,0.0356,1292.09,0.8525
58.3,107.6,0.4833,0.375,0.4772,163.91,0.7661
236.5,449.1,0.3126,0.4105,0.2527,818.06,0.7899
135.6,235.3,0.2154,0.5761,0.0986,495.66,0.8747
104.3,84.4,0.2495,0.3254,0.2148,215.11,0.9047
132.3,119.7,0.1941,0.4337,0.0541,520.65,0.9237
193.7,386.8,0.2866,0.5462,0.1052,659.82,0.7735
464.6,780.8,0.1898,0.2757,0.3369,863.03,0.7248
96.7,150.1,0.5137,0.3493,0.0878,333.69,0.8492
250.0,470.4,0.0257,0.4001,0.0562,428.35,0.8371
174.4,147.8,0.0882,0.3295,0.4346,587.47,0.8378
194.5,332.4,0.2999,0.2214,0.1539,767.63,0.8372
493.7,782.8,0.1905,0.468,0.2903,913.37,0.7429
356.6,648.3,0.295,0.1174,0.0779,803.28,0.8736
624.0,1081.7,0.2418,0.359,0.3184,2309.92,0.7188
219.6,303.5,0.1021,0.3847,0.1638,661.46,0.8667
150.3,133.1,0.2077,0.3366,0.1818,428.33,0.7075
209.2,395.7,0.1712,0.4368,0.1108,791.54,0.7878
290.0,497.6,0.1393,0.4048,0.1019,677.37,0.8633
276.9,339.9,0.195,0.2754,0.2304,617.98,0.7748
114.5,226.9,0.3978,0.3373,0.0067,453.09,0.8118
260.7,305.9,0.1486,0.3207,0.2411,667.32,0.7863
287.1,357.3,0.2769,0.4046,0.2313,644.67,0.7945
1425.4,2807.6,0.2168,0.2615,0.1846,3492.2,0.5097
910.3,1458.1,0.3874,0.1664,0.1026,3185.72,0.72
134.7,249.8,0.3405,0.3244,0.1005,327.75,0.7588
200.1,373.3,0.3484,0.1029,0.1477,467.57,0.9487
87.8,126.8,0.2927,0.5847,0.2579,311.26,0.8674
161.8,181.3,0.4095,0.0428,0.1813,325.74,0.9049
305.2,554.5,0.3692,0.4555,0.2416,831.2,0.7305
569.1,798.1,0.3733,0.6556,0.0928,1691.66,0.7253
146.9,217.0,0.513,0.7681,0.1516,507.04,0.7019
154.8,224.4,0.2141,0.1512,0.244,336.52,0.8856
54.4,44.2,0.4365,0.6196,0.0556,189.5,0.7592
218.4,186.7,0.5147,0.3294,0.0904,431.15,0.869
116.3,179.1,0.16,0.3755,0.0135,322.48,0.8836
168.9,296.2,0.4257,0.4068,0.3448,316.84,0.7652
132.4,178.6,0.075,0.4727,0.2061,380.65,1.0
229.1,235.6,0.1906,0.4315,0.0069,808.9,0.8242
71.5,92.1,0.3882,0.4619,0.2754,267.36,0.7303
87.6,150.9,0.2726,0.4004,0.2945,138.24,0.7648
1086.2,1010.6,0.4603,0.4434,0.2516,4177.13,0.7144
99.4,146.3,0.4624,0.1739,0.0456,163.26,0.8001
113.6,186.5,0.2272,0.3419,0.1488,291.96,0.8927
885.2,1149.9,0.4134,0.1379,0.305,2472.28,0.709
1869.7,2844.8,0.5968,0.3864,0.1815,4679.15,0.416
107.8,200.5,0.2009,0.7413,0.268,291.0,0.8047
189.1,199.6,0.2609,0.755,0.4062,557.64,0.7677
310.8,299.0,0.2494,0.3543,0.2017,476.69,0.8212
820.6,716.4,0.4158,0.2284,0.0444,2639.76,0.7156
122.6,205.0,0.652,0.2595,0.4132,299.21,0.7261
206.1,387.6,0.3171,0.3193,0.2718,328.34,0.7512
421.6,686.6,0.5782,0.3044,0.0514,1515.4,0.7838
331.7,654.1,0.3082,0.4554,0.1265,716.06,0.7648
188.0,310.2,0.1969,0.4154,0.2542,708.48,0.8159
222.8,255.4,0.1042,0.5484,0.1425,336.61,0.9136
93.5,103.4,0.3985,0.1417,0.5042,370.78,0.8194
207.1,331.4,0.4518,0.4457,0.1023,399.5,0.8676
203.1,327.1,0.5408,0.355,0.1224,369.18,0.8423
287.9,411.2,0.3163,0.2414,0.1357,910.85,0.8558
165.9,237.6,0.4831,0.4457,0.0302,358.52,0.8025
340.4,442.5,0.181,0.3311,0.5665,870.23,0.8481
497.2,606.5,0.1679,0.2119,0.3816,1542.03,0.7478
272.8,425.8,0.1265,0.3557,0.1425,817.03,0.8432
313.0,531.2,0.1242,0.263,0.3444,1038.47,0.8959
254.0,451.1,0.3887,0.2193,0.1274,494.51,0.7673
244.7,286.2,0.0494,0.2847,0.206,488.73,1.0
147.7,270.1,0.2575,0.7409,0.2762,296.31,0.6988
305.4,355.2,0.4645,0.4387,0.321,1137.08,0.8695
228.6,266.5,0.3889,0.4285,0.1657,654.65,0.7687
1059.1,1871.7,0.376,0.3908,0.3391,4193.67,0.5961
736.1,1445.1,0.1241,0.2775,0.1676,2604.54,0.906
320.6,615.1,0.4826,0.5023,0.3363,819.77,0.6703
143.4,133.9,0.1438,0.3228,0.2908,510.04,0.8248
112.3,128.7,0.2032,0.425,0.2026,307.32,0.8007
563.3,964.3,0.3417,0.2313,0.1236,1465.43,0.7793
294.1,519.8,0.0375,0.276,0.1673,894.49,0.8924
342.4,481.2,0.1965,0.6212,0.0226,908.47,0.8051
72.2,59.1,0.0028,0.2971,0.0287,112.96,1.0
468.3,656.7,0.2839,0.2656,0.0711,1832.37,0.8037
336.3,281.6,0.5018,0.3271,0.4332,1255.31,0.7055
112.5,128.0,0.5802,0.4141,0.1048,344.98,0.8511
175.9,279.4,0.141,0.4774,0.2445,453.81,0.8906
294.3,283.0,0.2033,0.3295,0.2086,911.67,0.8285
253.8,420.1,0.1629,0.2183,0.0717,407.17,0.8319
199.4,308.3,0.2562,0.4763,0.0776,450.65,0.8454
227.6,299.4,0.3223,0.2157,0.3549,900.28,0.8446
205.1,255.7,0.1667,0.6694,0.0534,814.37,0.8389
272.3,516.7,0.3066,0.687,0.3015,471.82,0.7655
685.4,1003.3,0.0287,0.449,0.0546,1853.96,0.8225
50.0,93.3,0.6387,0.3389,0.2056,186.05,0.7611
207.3,268.4,0.1284,0.4939,0.1295,713.78,0.856
276.9,419.1,0.1682,0.2924,0.3127,665.77,0.7867
301.0,585.7,0.6612,0.51,0.0575,689.39,0.735
188.6,179.0,0.1834,0.2256,0.2111,674.95,0.9043
71.5,79.8,0.1567,0.5411,0.1612,114.84,0.8619
307.8,584.9,0.4153,0.63,0.3603,1217.24,0.5565
819.9,1071.1,0.4419,0.2381,0.2331,1745.96,0.6442
83.6,94.2,0.291,0.1798,0.5095,311.61,0.9171
447.9,894.5,0.3309,0.6759,0.1394,1498.23,0.8039
194.4,179.4,0.171,0.447,0.0364,665.23,0.8523
234.4,359.6,0.248,0.4201,0.3186,448.0,0.792
117.1,204.4,0.2597,0.6608,0.0486,348.25,0.8905
193.6,337.7,0.487,0.4968,0.1524,335.87,0.7868
607.9,808.7,0.4266,0.1098,0.0383,1618.85,0.8162
367.9,313.7,0.0655,0.6728,0.2025,1137.23,0.8047
822.7,1488.5,0.1667,0.5085,0.1804,3149.82,0.6958
557.9,983.7,0.1875,0.8167,0.2039,1610.68,0.5724
332.7,361.0,0.4931,0.3926,0.1573,1234.9,0.7743
829.4,1002.5,0.4135,0.2974,0.0241,2010.67,0.6973
332.7,470.8,0.3559,0.2997,0.1256,1021.02,0.8623
436.9,409.3,0.2021,0.2959,0.0698,1297.28,0.7009
198.8,354.8,0.4141,0.5228,0.1472,407.69,0.7987
256.4,488.8,0.2825,0.1967,0.4736,973.56,0.8353
150.2,175.7,0.2838,0.5635,0.3053,277.24,0.8473
489.2,933.7,0.3326,0.4616,0.1017,1763.97,0.7315
107.3,188.9,0.1715,0.2968,0.1646,281.31,0.8875
423.1,708.0,0.2195,0.2004,0.2888,1157.05,0.818
214.1,420.3,0.2418,0.3588,0.6012,564.23,0.7868
555.5,660.8,0.2345,0.3449,0.0571,1758.98,0.8362
413.9,785.9,0.4436,0.2012,0.1711,1624.98,0.6718
875.2,803.5,0.1477,0.5868,0.5431,2056.1,0.6622
408.1,560.6,0.4332,0.604,0.0337,1613.38,0.7862
81.4,119.1,0.7047,0.0823,0.3816,177.75,0.7924
233.5,221.2,0.2178,0.2913,0.2316,591.85,0.8086
107.7,181.5,0.106,0.1946,0.1218,246.66,0.925
170.2,233.3,0.1662,0.4919,0.3367,589.8,0.8656
704.8,949.1,0.3428,0.2923,0.1307,2815.5,0.693
382.3,572.6,0.1908,0.2774,0.3342,1438.28,0.8072
150.0,144.3,0.1517,0.4365,0.0452,338.21,0.8411
120.3,125.2,0.1175,0.5806,0.2569,349.82,0.8397
250.4,254.6,0.633,0.0978,0.4167,732.99,0.8756
104.4,202.8,0.3188,0.632,0.3076,381.59,0.7533
153.0,264.3,0.4824,0.5745,0.1305,510.38,0.797
304.4,436.9,0.5683,0.2477,0.3114,1026.99,0.8453
549.3,874.2,0.1257,0.4058,0.411,1695.78,0.7758
374.7,592.0,0.0787,0.4689,0.2971,1335.54,0.8158
50.0,55.7,0.3315,0.4005,0.0089,132.22,0.9413
302.8,273.7,0.2451,0.1184,0.0684,819.23,0.9643
257.3,377.3,0.193,0.5908,0.1286,843.39,0.7833
326.9,364.7,0.142,0.4125,0.0688,1106.78,0.8828
758.5,1401.8,0.3188,0.1074,0.2639,2609.01,0.681
57.7,62.5,0.0765,0.5348,0.196,88.15,0.8718
161.8,240.6,0.3088,0.1877,0.2455,597.71,0.7513
370.0,482.6,0.1852,0.2545,0.067,962.06,0.8382
80.9,136.8,0.3756,0.3685,0.4296,122.31,0.8522
687.6,1334.5,0.3702,0.5916,0.2388,2421.54,0.5924
316.7,409.7,0.187,0.3659,0.4014,685.87,0.6979
442.6,377.6,0.3192,0.6052,0.5812,1155.85,0.6967
164.1,261.5,0.3139,0.4487,0.2236,345.74,0.8799
432.5,413.1,0.3463,0.6606,0.2541,1437.87,0.79
516.9,478.4,0.4679,0.8053,0.1078,1232.54,0.6679
288.0,459.1,0.3102,0.2702,0.0866,1068.72,0.8366
288.3,266.2,0.209,0.1579,0.1881,1054.91,0.8596
295.7,282.2,0.5389,0.5573,0.2547,1065.55,0.8518
133.7,177.4,0.3604,0.4041,0.1315,239.08,0.7949
220.7,296.3,0.2857,0.3144,0.2248,732.14,0.8242
219.9,417.1,0.2912,0.5606,0.1109,684.74,0.7726
320.0,362.1,0.3828,0.0854,0.0921,1095.81,0.8891
492.7,631.2,0.3377,0.3028,0.0495,959.14,0.8368
116.6,192.3,0.2997,0.3019,0.1037,266.49,0.9149
224.2,401.8,0.2145,0.4516,0.3247,825.7,0.7009
690.2,841.3,0.525,0.2153,0.1022,2693.1,0.7238
145.4,226.4,0.2806,0.3139,0.107,231.77,0.8696
137.6,213.2,0.2308,0.447,0.3391,437.35,0.8394
281.9,328.1,0.3594,0.1626,0.1385,799.42,0.7848
441.9,416.4,0.0636,0.4836,0.2889,834.39,0.8357
246.7,399.3,0.2704,0.277,0.1442,692.02,0.7693
620.3,695.8,0.3509,0.4576,0.1031,2474.74,0.7363
445.7,526.8,0.086,0.5099,0.1712,1703.09,0.8171
441.1,655.8,0.429,0.5196,0.3097,1139.24,0.695
360.6,358.1,0.3034,0.4838,0.1842,1370.85,0.8656
1248.1,1360.1,0.1051,0.1545,0.2009,2424.23,0.7367
212.0,283.0,0.1143,0.1341,0.1208,790.9,0.9133
60.2,111.6,0.1169,0.2624,0.0139,124.84,0.8969
752.2,1298.8,0.4629,0.3242,0.4151,2303.71,0.6627
177.6,209.8,0.1241,0.4329,0.4813,326.39,0.8545
263.9,306.8,0.3587,0.4022,0.2946,759.93,0.7981
612.0,1214.6,0.3332,0.2607,0.2053,1287.69,0.7154
79.7,126.3,0.1318,0.2739,0.2256,264.69,0.8651
101.9,165.3,0.4477,0.5103,0.1201,185.53,0.82
79.8,69.1,0.238,0.2687,0.148,206.89,0.9598
140.3,130.0,0.5879,0.748,0.2782,261.84,0.7685
332.9,383.9,0.28,0.7109,0.0605,622.17,0.8662
353.2,639.4,0.3373,0.1848,0.2343,571.42,0.7649
296.9,562.0,0.2503,0.3255,0.2321,611.71,0.8194
91.0,93.7,0.4901,0.1447,0.1068,342.86,0.8469
50.0,82.9,0.047,0.317,0.1359,97.24,0.7704
254.2,470.0,0.2585,0.6167,0.334,636.67,0.7353
175.9,326.2,0.4599,0.4705,0.0169,402.1,0.8385
337.5,455.8,0.1386,0.4929,0.2238,1340.34,0.825
400.0,444.2,0.4018,0.6188,0.2126,1390.79,0.8398
269.6,525.0,0.4973,0.7841,0.3437,963.4,0.6965
416.6,471.5,0.5104,0.2075,0.1171,807.17,0.7901
287.3,316.9,0.0239,0.7013,0.1914,715.09,0.8857
354.6,371.2,0.1508,0.5811,0.0999,1053.79,0.8463
149.4,215.0,0.0905,0.0217,0.0618,338.63,0.9914
215.8,200.4,0.1101,0.3916,0.3451,629.26,0.8001
280.8,417.0,0.2055,0.4312,0.0095,898.22,0.9107
434.6,839.8,0.1103,0.1014,0.2047,1642.72,0.7621
185.7,261.2,0.376,0.2386,0.4164,586.55,0.8608
352.4,690.2,0.4527,0.3069,0.4158,585.95,0.6828
203.1,383.3,0.3884,0.2755,0.2302,712.25,0.8697
225.4,394.6,0.2257,0.1892,0.1663,724.61,0.9066
437.3,669.0,0.2718,0.2505,0.1618,753.44,0.8976
60.6,112.6,0.4581,0.3308,0.1275,133.67,0.7907
98.7,144.7,0.2905,0.3889,0.2084,168.67,0.8391
86.7,90.9,0.2307,0.2579,0.3345,213.25,0.839
50.0,95.5,0.1346,0.4017,0.033,98.88,0.9618
152.2,213.5,0.308,0.1072,0.0873,487.87,0.8726
413.5,781.2,0.2629,0.6553,0.5556,782.81,0.7195
200.5,254.9,0.155,0.2576,0.5473,721.14,0.8599
281.0,338.0,0.1906,0.4441,0.5304,1043.78,0.7667
524.5,901.7,0.6421,0.5123,0.5222,835.31,0.6412
619.8,967.7,0.2556,0.2098,0.0408,1141.03,0.8202
233.1,309.5,0.3425,0.4134,0.0946,385.49,0.7932
631.1,1170.3,0.1118,0.7424,0.1624,1502.4,0.689
261.0,370.6,0.1356,0.2612,0.3177,961.46,0.8142
136.2,111.0,0.365,0.2111,0.1233,363.94,0.8792
161.4,263.4,0.1765,0.7186,0.2902,623.83,0.819
86.8,76.0,0.2556,0.0795,0.3155,161.52,0.8692
131.4,181.0,0.0048,0.7319,0.1519,318.51,0.8124
190.4,196.3,0.4382,0.3071,0.2841,535.22,0.8227
429.5,468.3,0.1527,0.175,0.172,912.92,0.7541
816.1,1612.4,0.383,0.7724,0.1175,2023.06,0.5797
93.0,87.1,0.0644,0.3197,0.0344,333.14,0.9622
322.1,550.6,0.2042,0.2971,0.3852,1170.43,0.763
118.1,184.8,0.153,0.3723,0.2312,304.85,0.8675
341.1,352.8,0.1729,0.2404,0.2105,1223.8,0.9312
223.2,429.2,0.2527,0.3707,0.3098,343.31,0.7588
67.9,70.8,0.1373,0.738,0.191,228.71,0.8239
468.6,664.8,0.074,0.6824,0.0939,1156.21,0.7651
